id_del_producto,fecha_del_pedido,cantidad
MAT-PA-10000749,2015-03-02,2
MAT-EL-10002067,2015-03-02,11
MAT-CA-10004172,2015-03-02,8
MAT-AL-10004790,2015-03-02,6
TEC-CO-10001010,2015-03-02,7
MAT-GR-10004432,2015-03-02,3
TEC-CO-10000904,2015-03-02,3
MAT-ET-10000866,2015-03-02,3
MAT-SO-10003513,2015-03-02,2
MAT-GR-10003462,2015-03-02,3
MAT-CA-10002350,2015-03-02,2
MOB-SI-10003980,2015-03-02,9
MAT-CA-10000714,2015-03-09,3
MAT-AR-10002638,2015-03-09,2
MAT-SU-10004352,2015-03-09,3
TEC-TE-10003025,2015-03-09,1
MAT-AR-10002464,2015-03-09,6
MAT-CA-10004474,2015-03-09,3
MAT-PA-10004931,2015-03-09,9
MOB-SI-10001060,2015-03-09,3
TEC-CO-10000530,2015-03-09,2
MAT-SU-10004028,2015-03-09,5
MAT-AL-10000810,2015-03-09,4
MOB-MO-10004472,2015-03-09,3
MAT-SO-10004613,2015-03-09,5
MOB-MO-10004469,2015-03-09,2
MOB-SI-10001938,2015-03-09,2
MAT-EL-10002747,2015-03-16,2
MAT-AR-10003770,2015-03-16,2
MAT-AL-10002056,2015-03-16,2
MOB-SI-10000876,2015-03-16,5
TEC-TE-10004409,2015-03-16,2
MAT-ET-10003432,2015-03-16,5
MAT-GR-10001273,2015-03-16,4
TEC-TE-10000685,2015-03-16,1
TEC-MÁ-10001970,2015-03-16,2
MAT-GR-10000827,2015-03-16,6
TEC-CO-10002291,2015-03-16,3
MOB-SI-10003761,2015-03-16,3
MAT-GR-10002755,2015-03-16,4
MOB-MO-10003281,2015-03-16,4
MAT-PA-10000577,2015-03-16,2
MAT-AL-10003427,2015-03-16,7
TEC-TE-10002989,2015-03-16,5
MAT-GR-10004030,2015-03-16,6
MAT-AL-10003376,2015-03-23,4
TEC-CO-10002221,2015-03-23,3
MAT-ET-10000988,2015-03-23,5
TEC-CO-10004085,2015-03-23,7
MAT-CA-10001185,2015-03-23,2
TEC-TE-10000443,2015-03-23,3
MAT-SU-10004843,2015-03-23,2
MOB-LI-10004249,2015-03-23,2
MOB-LI-10001430,2015-03-23,5
TEC-AC-10001925,2015-03-23,3
MAT-CA-10004040,2015-03-23,2
MOB-MO-10002179,2015-03-23,5
MOB-MO-10004363,2015-03-23,2
MAT-SU-10001457,2015-03-23,7
MAT-SO-10001252,2015-03-23,7
TEC-TE-10003025,2015-03-23,6
MAT-SO-10001420,2015-03-23,3
MAT-AL-10003871,2015-03-23,4
MAT-ET-10002971,2015-03-23,3
MAT-ET-10003474,2015-03-23,3
MAT-SO-10002407,2015-03-30,2
MAT-SO-10001971,2015-03-30,3
MAT-SO-10002432,2015-03-30,4
TEC-AC-10000649,2015-03-30,3
TEC-CO-10004075,2015-03-30,3
MAT-EL-10003432,2015-03-30,3
MAT-SO-10003866,2015-03-30,9
TEC-CO-10003293,2015-03-30,3
MAT-CA-10001363,2015-03-30,2
MAT-CA-10004145,2015-03-30,2
MAT-CA-10001605,2015-03-30,5
MOB-LI-10004625,2015-03-30,2
MOB-SI-10001502,2015-03-30,3
MOB-SI-10000984,2015-03-30,6
MAT-AR-10003711,2015-03-30,5
MAT-CA-10001342,2015-03-30,4
MAT-SO-10001671,2015-03-30,2
MAT-AL-10004000,2015-03-30,5
TEC-CO-10002334,2015-03-30,6
MAT-ET-10001984,2015-03-30,3
TEC-TE-10001732,2015-03-30,2
TEC-CO-10002292,2015-03-30,3
MOB-MO-10003083,2015-03-30,2
TEC-TE-10002112,2015-03-30,6
TEC-AC-10004877,2015-03-30,1
MAT-EL-10003853,2015-03-30,4
MAT-EL-10001422,2015-03-30,3
TEC-CO-10002358,2015-03-30,5
TEC-AC-10002157,2015-03-30,2
MAT-EL-10001766,2015-03-30,2
MAT-AL-10004960,2015-03-30,4
TEC-CO-10000159,2015-03-30,3
MOB-MO-10000893,2015-03-30,1
TEC-TE-10002128,2015-04-06,3
MAT-AL-10002073,2015-04-06,2
MAT-SO-10001690,2015-04-06,1
MOB-SI-10001874,2015-04-06,3
MAT-AR-10003773,2015-04-06,5
MAT-ET-10001340,2015-04-06,2
MAT-CA-10004902,2015-04-06,5
TEC-AC-10000802,2015-04-06,1
MAT-ET-10002367,2015-04-06,3
MAT-CA-10004833,2015-04-06,5
MOB-SI-10004824,2015-04-06,3
MAT-SO-10002294,2015-04-06,7
MAT-SU-10001837,2015-04-06,3
MAT-ET-10000036,2015-04-06,1
MAT-AL-10003773,2015-04-13,3
MOB-LI-10003669,2015-04-13,1
MOB-SI-10000063,2015-04-13,1
TEC-AC-10001452,2015-04-13,2
MAT-SU-10000351,2015-04-13,3
MAT-AL-10004321,2015-04-13,2
MOB-SI-10003761,2015-04-13,6
MAT-ET-10001048,2015-04-13,1
MOB-SI-10003897,2015-04-13,2
MAT-AR-10001517,2015-04-13,5
TEC-AC-10000087,2015-04-13,2
MAT-PA-10000954,2015-04-13,1
MAT-CA-10002437,2015-04-13,4
MAT-GR-10004785,2015-04-13,7
MAT-PA-10002469,2015-04-13,5
MAT-PA-10000211,2015-04-13,2
MOB-LI-10000698,2015-04-13,7
MAT-AR-10002490,2015-04-13,4
MOB-LI-10001049,2015-04-13,3
TEC-AC-10001231,2015-04-13,2
MOB-LI-10004625,2015-04-13,2
TEC-TE-10002134,2015-04-13,4
MAT-GR-10001828,2015-04-13,3
MOB-LI-10004146,2015-04-13,2
MOB-LI-10004751,2015-04-13,7
MOB-MO-10004728,2015-04-20,3
TEC-TE-10001761,2015-04-20,1
MOB-SI-10003085,2015-04-20,3
MAT-AR-10004121,2015-04-20,3
MOB-MO-10002325,2015-04-20,3
MAT-CA-10003295,2015-04-20,2
TEC-TE-10004681,2015-04-20,8
MAT-AR-10000753,2015-04-20,2
TEC-TE-10003591,2015-04-20,7
MAT-SO-10002014,2015-04-20,2
MOB-SI-10000881,2015-04-20,4
MOB-LI-10003574,2015-04-20,4
MAT-EL-10001348,2015-04-20,2
MAT-AR-10003326,2015-04-20,1
MAT-ET-10002466,2015-04-20,6
MOB-MO-10004936,2015-04-20,2
MAT-CA-10001920,2015-04-20,2
TEC-TE-10001364,2015-04-20,2
TEC-AC-10000962,2015-04-20,4
MOB-SI-10001415,2015-04-20,3
MAT-AL-10004237,2015-04-20,1
MAT-CA-10000226,2015-04-20,2
MAT-AR-10001843,2015-04-27,2
MAT-PA-10004558,2015-04-27,2
MOB-SI-10001568,2015-04-27,3
MAT-SU-10002824,2015-04-27,3
MAT-SO-10002062,2015-04-27,5
MAT-AL-10001229,2015-04-27,2
MAT-CA-10002778,2015-04-27,5
MOB-SI-10002001,2015-04-27,5
MAT-CA-10001628,2015-04-27,1
MAT-SO-10003425,2015-04-27,7
TEC-TE-10003807,2015-04-27,5
TEC-TE-10004755,2015-04-27,1
MOB-LI-10004249,2015-04-27,4
MAT-AR-10002477,2015-04-27,7
MAT-PA-10001122,2015-04-27,3
MOB-MO-10004237,2015-04-27,5
TEC-MÁ-10004750,2015-04-27,4
MAT-GR-10000797,2015-04-27,3
MOB-MO-10004676,2015-04-27,2
MOB-SI-10003958,2015-04-27,1
MAT-GR-10003462,2015-04-27,3
TEC-TE-10000982,2015-04-27,4
MAT-GR-10000791,2015-04-27,7
MOB-SI-10001417,2015-05-04,2
MAT-AL-10002190,2015-05-04,5
MAT-AR-10004588,2015-05-04,3
MOB-ME-10000657,2015-05-04,10
MAT-AR-10002570,2015-05-04,4
TEC-AC-10002784,2015-05-04,7
MOB-SI-10001844,2015-05-04,2
MOB-LI-10003234,2015-05-04,2
TEC-CO-10004625,2015-05-04,2
MAT-CA-10003500,2015-05-04,2
MAT-SU-10003481,2015-05-04,3
TEC-AC-10000024,2015-05-04,7
MOB-LI-10003574,2015-05-04,3
TEC-TE-10003109,2015-05-04,3
MAT-CA-10003516,2015-05-04,3
MAT-PA-10004177,2015-05-04,5
MAT-SO-10004572,2015-05-04,3
MOB-MO-10001828,2015-05-04,3
TEC-CO-10004072,2015-05-04,4
MAT-ET-10003083,2015-05-04,1
MOB-SI-10002050,2015-05-11,2
MAT-GR-10003247,2015-05-11,3
MAT-GR-10002048,2015-05-11,6
MAT-AL-10001420,2015-05-11,1
MAT-AL-10000436,2015-05-11,7
MOB-SI-10004862,2015-05-11,5
MAT-SO-10003770,2015-05-11,3
MAT-EL-10004154,2015-05-11,3
TEC-TE-10003643,2015-05-11,5
MAT-AR-10003292,2015-05-11,3
MAT-AL-10002072,2015-05-11,4
TEC-TE-10002989,2015-05-11,5
MAT-PA-10004187,2015-05-11,1
TEC-AC-10000836,2015-05-11,3
MAT-SU-10004335,2015-05-11,4
MAT-CA-10001680,2015-05-11,3
MAT-AL-10003398,2015-05-11,7
MAT-AR-10004706,2015-05-18,5
MAT-AL-10004891,2015-05-18,3
TEC-AC-10001202,2015-05-18,1
MAT-ET-10002486,2015-05-18,3
MAT-AL-10002606,2015-05-18,15
MAT-AR-10000629,2015-05-18,4
MAT-CA-10002495,2015-05-18,2
MAT-SU-10004842,2015-05-18,9
MAT-AR-10004782,2015-05-18,14
MAT-SU-10000234,2015-05-18,11
TEC-AC-10000506,2015-05-18,7
TEC-AC-10000155,2015-05-18,4
MOB-SI-10002977,2015-05-18,3
TEC-TE-10003714,2015-05-18,6
MAT-SO-10000689,2015-05-18,2
MOB-MO-10004237,2015-05-18,3
MAT-CA-10003527,2015-05-18,7
MAT-EL-10003766,2015-05-18,5
TEC-TE-10004601,2015-05-18,2
MOB-LI-10002053,2015-05-18,4
MAT-SU-10002257,2015-05-18,4
TEC-MÁ-10000952,2015-05-18,4
MOB-LI-10003720,2015-05-18,3
MAT-PA-10004803,2015-05-18,3
MOB-SI-10002212,2015-05-18,3
MAT-CA-10000405,2015-05-18,3
TEC-MÁ-10003563,2015-05-18,4
MAT-PA-10002489,2015-05-18,4
MAT-EL-10000122,2015-05-18,5
TEC-MÁ-10004381,2015-05-18,2
TEC-AC-10004403,2015-05-25,3
MAT-CA-10001920,2015-05-25,5
MAT-PA-10004251,2015-05-25,2
MOB-MO-10001983,2015-05-25,2
MOB-ME-10003139,2015-05-25,2
MAT-SO-10004254,2015-05-25,2
MAT-ET-10001335,2015-05-25,4
MOB-MO-10000442,2015-05-25,3
TEC-TE-10000685,2015-05-25,9
MOB-LI-10003104,2015-05-25,2
TEC-CO-10001375,2015-05-25,5
TEC-TE-10002764,2015-05-25,3
MAT-SU-10001174,2015-05-25,3
MOB-ME-10004739,2015-05-25,3
MOB-LI-10000111,2015-05-25,3
TEC-CO-10004914,2015-05-25,5
MAT-AR-10000923,2015-05-25,2
MAT-SU-10003144,2015-05-25,2
TEC-TE-10003327,2015-05-25,3
TEC-CO-10000319,2015-05-25,5
MAT-CA-10004145,2015-05-25,3
MAT-AL-10001851,2015-05-25,4
MOB-MO-10001742,2015-05-25,2
MOB-SI-10001686,2015-05-25,4
MAT-PA-10002931,2015-05-25,6
TEC-CO-10000495,2015-05-25,3
MAT-PA-10004174,2015-05-25,2
MAT-CA-10001617,2015-06-01,3
MOB-LI-10002269,2015-06-01,6
TEC-CO-10000168,2015-06-01,2
MOB-SI-10004799,2015-06-01,5
MAT-AR-10000895,2015-06-01,5
MAT-CA-10002468,2015-06-01,2
TEC-AC-10001642,2015-06-01,7
TEC-AC-10000340,2015-06-01,2
MAT-AL-10004960,2015-06-01,3
TEC-AC-10002157,2015-06-01,7
MAT-ET-10002367,2015-06-01,5
MAT-CA-10001612,2015-06-01,1
TEC-AC-10002166,2015-06-01,9
MAT-GR-10001008,2015-06-01,3
MOB-LI-10002546,2015-06-01,2
MAT-PA-10002469,2015-06-01,7
MAT-GR-10001064,2015-06-01,3
TEC-AC-10003196,2015-06-01,2
MAT-EL-10001878,2015-06-01,2
MAT-AL-10001067,2015-06-01,3
TEC-CO-10002593,2015-06-01,3
TEC-AC-10000782,2015-06-01,6
MAT-EL-10002423,2015-06-01,7
TEC-AC-10000370,2015-06-01,5
MAT-GR-10000797,2015-06-01,3
TEC-CO-10003453,2015-06-01,4
MOB-LI-10003720,2015-06-01,3
MAT-CA-10004559,2015-06-01,2
MAT-SU-10004674,2015-06-01,2
MAT-SU-10004804,2015-06-01,3
MAT-SU-10002824,2015-06-01,4
MAT-SU-10002240,2015-06-01,2
MAT-AR-10004314,2015-06-01,9
TEC-TE-10003597,2015-06-01,2
MAT-AR-10004391,2015-06-01,3
MAT-SO-10003846,2015-06-01,3
MAT-SU-10001448,2015-06-01,5
MOB-MO-10004936,2015-06-01,3
MAT-SU-10004843,2015-06-01,7
MOB-SI-10001965,2015-06-01,7
MAT-SU-10002876,2015-06-01,3
MOB-MO-10004237,2015-06-01,1
MAT-AR-10004706,2015-06-01,2
MOB-ME-10004381,2015-06-01,6
TEC-AC-10002277,2015-06-08,2
MOB-MO-10000392,2015-06-08,2
TEC-AC-10002784,2015-06-08,3
MOB-SI-10001733,2015-06-08,6
MOB-MO-10000375,2015-06-08,9
MAT-ET-10004557,2015-06-08,1
MAT-CA-10001265,2015-06-08,6
MAT-AR-10003326,2015-06-08,4
MAT-CA-10002578,2015-06-08,3
MAT-ET-10002880,2015-06-08,9
MOB-SI-10002245,2015-06-08,14
TEC-CO-10004602,2015-06-08,6
MOB-MO-10001089,2015-06-08,3
MOB-SI-10001417,2015-06-08,14
MOB-MO-10001574,2015-06-08,3
MAT-SU-10004354,2015-06-08,3
TEC-AC-10001782,2015-06-08,6
MAT-EL-10001214,2015-06-08,5
TEC-TE-10000454,2015-06-08,7
MAT-EL-10001445,2015-06-08,10
MAT-AL-10004287,2015-06-08,5
TEC-TE-10002678,2015-06-08,3
MOB-MO-10000300,2015-06-08,5
MAT-AL-10003382,2015-06-08,2
MAT-AR-10004397,2015-06-08,4
MOB-MO-10000312,2015-06-08,3
MAT-CA-10002687,2015-06-08,1
MAT-CA-10004838,2015-06-08,3
MAT-GR-10001635,2015-06-08,3
MOB-SI-10004584,2015-06-08,1
MOB-MO-10001909,2015-06-08,7
MAT-PA-10002931,2015-06-08,2
MAT-AR-10001228,2015-06-08,5
TEC-CO-10000278,2015-06-08,3
MOB-SI-10004307,2015-06-08,5
MAT-EL-10003492,2015-06-08,7
TEC-AC-10004610,2015-06-08,3
MOB-MO-10004363,2015-06-08,2
TEC-AC-10000340,2015-06-08,2
MAT-SO-10003950,2015-06-08,4
MAT-SO-10003866,2015-06-08,6
MOB-SI-10001724,2015-06-08,3
MAT-GR-10002155,2015-06-08,2
MOB-SI-10000485,2015-06-08,5
MAT-GR-10001590,2015-06-08,2
MAT-AR-10003485,2015-06-08,5
TEC-AC-10004848,2015-06-08,3
MAT-AR-10003711,2015-06-08,2
MOB-SI-10003652,2015-06-08,1
TEC-AC-10003316,2015-06-15,2
MAT-CA-10002885,2015-06-15,2
MOB-LI-10004146,2015-06-15,2
TEC-MÁ-10001510,2015-06-15,3
TEC-CO-10000278,2015-06-15,2
TEC-TE-10000541,2015-06-15,3
MAT-AL-10004287,2015-06-15,3
MAT-SU-10001837,2015-06-15,2
MAT-SU-10003372,2015-06-15,5
MAT-ET-10003408,2015-06-15,7
TEC-TE-10000034,2015-06-15,3
MOB-LI-10002187,2015-06-15,1
TEC-CO-10000904,2015-06-15,2
MOB-LI-10002136,2015-06-15,4
MAT-SU-10003926,2015-06-15,11
TEC-TE-10004714,2015-06-15,2
MAT-PA-10004796,2015-06-15,4
TEC-MÁ-10001594,2015-06-15,2
MAT-PA-10003930,2015-06-15,3
TEC-AC-10004950,2015-06-15,5
MAT-CA-10002107,2015-06-15,3
TEC-TE-10004580,2015-06-15,3
MOB-SI-10000279,2015-06-15,3
MOB-SI-10000410,2015-06-15,8
MAT-SO-10003386,2015-06-15,2
MOB-LI-10001625,2015-06-15,8
MAT-SU-10000678,2015-06-15,2
MOB-ME-10000417,2015-06-15,3
MAT-ET-10002576,2015-06-15,3
TEC-AC-10001332,2015-06-15,5
MAT-AR-10002164,2015-06-15,2
MAT-CA-10004672,2015-06-15,4
MAT-CA-10001342,2015-06-15,3
MAT-CA-10004172,2015-06-15,1
TEC-AC-10002869,2015-06-15,2
MAT-AR-10004669,2015-06-15,3
TEC-AC-10000746,2015-06-15,2
MAT-SO-10004006,2015-06-15,3
MAT-AL-10000690,2015-06-15,3
MAT-CA-10000896,2015-06-15,3
MOB-LI-10004561,2015-06-15,7
MAT-ET-10000016,2015-06-15,2
MOB-SI-10004503,2015-06-15,4
MAT-ET-10003662,2015-06-15,4
MAT-CA-10004656,2015-06-15,5
TEC-AC-10002557,2015-06-15,2
MOB-MO-10000633,2015-06-15,7
MOB-SI-10004830,2015-06-15,3
MOB-SI-10001918,2015-06-15,2
MAT-SU-10004358,2015-06-15,3
MAT-CA-10001628,2015-06-15,7
MOB-LI-10002985,2015-06-15,4
MAT-EL-10000300,2015-06-15,6
MAT-AL-10003707,2015-06-15,4
TEC-AC-10001782,2015-06-15,2
MAT-SU-10001351,2015-06-15,5
MOB-MO-10003456,2015-06-15,4
TEC-CO-10003460,2015-06-15,6
TEC-CO-10000051,2015-06-22,3
MOB-ME-10001955,2015-06-22,3
MAT-AR-10004017,2015-06-22,4
MOB-SI-10004976,2015-06-22,5
TEC-TE-10002006,2015-06-22,5
MOB-LI-10004778,2015-06-22,3
MAT-AR-10001289,2015-06-22,3
MAT-SO-10004158,2015-06-22,2
TEC-TE-10003597,2015-06-22,2
MAT-SO-10000096,2015-06-22,1
MAT-SU-10001811,2015-06-22,5
MOB-MO-10002504,2015-06-22,4
MAT-GR-10000260,2015-06-22,1
MAT-CA-10002183,2015-06-22,1
MAT-SO-10000871,2015-06-22,1
MAT-AR-10004446,2015-06-22,2
MAT-PA-10004882,2015-06-22,2
MOB-MO-10003614,2015-06-22,2
TEC-AC-10001538,2015-06-22,1
MOB-SI-10002564,2015-06-22,6
MAT-AL-10004986,2015-06-22,1
MAT-ET-10002945,2015-06-22,4
MAT-SU-10002909,2015-06-22,3
MOB-SI-10000823,2015-06-22,6
TEC-AC-10000748,2015-06-22,2
MAT-SO-10003972,2015-06-22,8
MAT-ET-10004214,2015-06-22,5
MAT-EL-10000998,2015-06-22,3
MOB-SI-10000138,2015-06-22,1
TEC-TE-10001170,2015-06-22,3
TEC-CO-10001522,2015-06-22,3
MAT-AL-10003691,2015-06-22,3
MOB-MO-10000614,2015-06-22,13
MAT-ET-10000888,2015-06-22,2
TEC-CO-10002895,2015-06-22,5
MAT-GR-10004173,2015-06-22,3
MAT-AL-10003416,2015-06-22,8
MOB-LI-10002270,2015-06-22,2
MAT-GR-10003247,2015-06-22,9
MOB-MO-10003720,2015-06-29,3
MAT-CA-10003571,2015-06-29,3
MAT-SU-10004864,2015-06-29,2
TEC-MÁ-10002167,2015-06-29,5
MAT-ET-10001314,2015-06-29,2
TEC-TE-10001732,2015-06-29,1
MAT-ET-10002945,2015-06-29,2
MAT-AL-10004285,2015-06-29,2
MAT-AR-10000753,2015-06-29,5
MOB-SI-10003415,2015-06-29,3
MAT-ET-10002124,2015-06-29,2
MAT-GR-10004456,2015-06-29,2
MAT-AR-10001706,2015-06-29,11
MAT-CA-10001363,2015-06-29,2
MAT-CA-10003516,2015-06-29,4
MOB-LI-10000646,2015-06-29,4
MAT-EL-10004560,2015-06-29,7
MOB-SI-10001995,2015-06-29,1
MAT-CA-10004637,2015-06-29,1
TEC-TE-10003886,2015-06-29,3
TEC-TE-10003464,2015-06-29,4
MAT-GR-10002137,2015-06-29,2
MOB-SI-10004862,2015-06-29,3
MAT-AL-10001030,2015-06-29,3
TEC-TE-10004409,2015-06-29,2
MAT-SU-10003322,2015-06-29,4
MOB-SI-10002518,2015-06-29,3
MAT-SO-10003201,2015-06-29,2
MAT-PA-10003283,2015-06-29,2
MAT-CA-10001605,2015-06-29,4
TEC-TE-10002679,2015-06-29,2
MAT-SU-10001064,2015-06-29,9
MAT-ET-10003432,2015-06-29,3
MAT-PA-10000954,2015-06-29,2
MAT-SU-10000526,2015-06-29,4
MAT-SU-10001560,2015-06-29,3
MAT-SO-10000209,2015-06-29,3
MAT-PA-10003145,2015-06-29,2
MOB-SI-10001719,2015-07-06,2
MAT-PA-10001896,2015-07-06,6
MAT-AL-10002890,2015-07-06,7
MAT-SU-10004804,2015-07-06,5
MAT-AR-10002932,2015-07-06,3
MOB-MO-10004427,2015-07-06,3
MAT-SO-10002599,2015-07-06,2
TEC-AC-10003946,2015-07-06,5
TEC-CO-10000974,2015-07-06,3
TEC-CO-10000530,2015-07-06,2
MAT-ET-10002044,2015-07-06,6
MAT-GR-10000680,2015-07-06,6
TEC-CO-10002895,2015-07-06,3
MAT-SU-10002838,2015-07-06,4
MOB-SI-10000131,2015-07-06,7
TEC-AC-10000825,2015-07-13,3
MAT-CA-10001634,2015-07-13,2
MAT-CA-10004474,2015-07-13,2
MAT-CA-10003527,2015-07-13,2
MAT-SO-10003513,2015-07-13,9
MAT-AL-10001063,2015-07-13,1
MAT-SU-10002721,2015-07-13,3
MAT-EL-10001939,2015-07-13,1
MAT-SO-10002955,2015-07-13,2
MOB-MO-10001048,2015-07-13,6
MAT-SO-10004714,2015-07-13,2
MAT-CA-10004672,2015-07-13,4
TEC-AC-10002557,2015-07-13,2
MAT-CA-10000714,2015-07-13,3
MAT-SO-10003386,2015-07-13,7
MAT-SU-10001397,2015-07-13,3
MAT-CA-10003756,2015-07-13,2
MAT-AR-10001636,2015-07-13,9
MAT-ET-10004214,2015-07-13,5
MAT-AL-10004624,2015-07-13,2
MAT-CA-10004470,2015-07-13,4
MAT-AR-10004785,2015-07-13,6
MAT-SO-10002599,2015-07-13,2
TEC-TE-10002059,2015-07-13,6
MOB-LI-10004541,2015-07-13,3
MAT-SU-10002122,2015-07-20,2
MAT-PA-10002433,2015-07-20,6
MAT-ET-10004702,2015-07-20,3
MAT-PA-10003611,2015-07-20,2
MAT-CA-10001118,2015-07-20,2
MAT-SO-10003866,2015-07-20,9
MAT-GR-10003560,2015-07-20,1
MAT-CA-10004520,2015-07-20,6
TEC-CO-10004452,2015-07-20,5
MAT-PA-10004270,2015-07-20,5
MAT-AL-10002073,2015-07-20,3
MOB-LI-10004340,2015-07-20,8
MAT-AR-10000777,2015-07-20,7
MOB-MO-10001408,2015-07-20,3
MAT-CA-10000424,2015-07-20,4
MOB-SI-10004970,2015-07-20,7
TEC-TE-10002924,2015-07-20,4
MAT-SU-10001468,2015-07-20,2
TEC-CO-10000924,2015-07-20,2
TEC-AC-10003734,2015-07-20,4
MAT-GR-10003247,2015-07-20,7
TEC-CO-10003293,2015-07-20,4
MAT-GR-10004127,2015-07-20,2
MAT-AL-10002100,2015-07-20,1
MAT-CA-10002361,2015-07-20,2
MOB-LI-10000374,2015-07-20,8
TEC-AC-10003462,2015-07-20,6
TEC-AC-10003489,2015-07-20,2
MAT-GR-10000791,2015-07-20,1
MAT-CA-10004656,2015-07-27,1
MAT-SU-10001708,2015-07-27,3
TEC-MÁ-10000810,2015-07-27,5
MOB-SI-10002589,2015-07-27,12
